N,P,K,ph,crop
89,60,17,6,maize
69,51,23,7,maize
96,46,22,6,maize
61,60,15,6,maize
74,58,18,7,maize
74,43,23,6,maize
63,43,17,7,maize
99,36,20,7,maize
77,36,23,7,maize
87,60,23,6,maize
60,38,17,6,maize
94,54,17,6,maize
95,38,22,6,maize
84,44,21,6,maize
77,58,19,6,maize
66,44,20,7,maize
63,35,16,6,maize
79,45,20,6,maize
72,60,25,6,maize
67,51,24,6,maize
86,36,24,6,maize
76,48,18,6,maize
75,53,18,7,maize
81,45,23,6,maize
73,45,21,7,maize
71,35,24,6,maize
96,54,22,7,maize
99,39,18,6,maize
62,48,20,7,maize
86,37,16,6,maize
94,50,19,6,maize
76,39,24,7,maize
77,52,17,6,maize
74,39,23,7,maize
81,49,20,6,maize
63,42,21,6,maize
99,38,21,6,maize
90,52,25,7,maize
68,40,19,7,maize
60,57,24,6,maize
71,52,18,6,maize
61,59,17,6,maize
88,38,15,6,maize
65,60,22,7,maize
78,37,22,6,maize
78,58,15,7,maize
92,60,23,6,maize
79,59,17,7,maize
91,55,15,6,maize
76,51,18,6,maize
87,48,25,7,maize
71,60,22,6,maize
90,57,24,6,maize
67,35,22,6,maize
60,54,19,6,maize
83,58,23,6,maize
83,57,19,7,maize
40,72,77,7,chickpea
23,72,84,7,chickpea
39,58,85,6,chickpea
22,72,85,6,chickpea
36,67,77,7,chickpea
32,73,81,6,chickpea
58,70,84,6,chickpea
59,70,84,8,chickpea
42,62,75,7,chickpea
28,74,81,9,chickpea
58,66,79,9,chickpea
43,66,79,8,chickpea
58,63,81,7,chickpea
23,62,85,8,chickpea
27,62,77,7,chickpea
28,72,84,6,chickpea
50,56,76,8,chickpea
39,71,84,8,chickpea
25,78,76,7,chickpea
31,70,77,6,chickpea
26,80,83,8,chickpea
25,68,77,8,chickpea
31,78,76,9,chickpea
60,68,83,7,chickpea
59,62,83,8,chickpea
22,67,78,6,chickpea
36,65,80,6,chickpea
59,60,84,8,chickpea
54,77,85,8,chickpea
43,68,81,7,chickpea
28,76,82,7,chickpea
42,79,85,6,chickpea
32,60,83,9,chickpea
22,78,76,9,chickpea
31,79,75,8,chickpea
28,58,81,6,chickpea
57,58,77,8,chickpea
49,55,78,8,chickpea
46,76,77,7,chickpea
54,61,77,6,chickpea
38,60,76,9,chickpea
59,55,79,9,chickpea
36,76,75,9,chickpea
57,68,81,8,chickpea
35,66,81,6,chickpea
35,64,78,7,chickpea
52,60,79,8,chickpea
27,76,83,6,chickpea
57,60,84,7,chickpea
52,68,78,7,chickpea
43,79,79,8,chickpea
44,74,85,7,chickpea
24,55,78,7,chickpea
29,77,75,8,chickpea
20,60,78,6,chickpea
56,67,78,8,chickpea
37,66,85,6,chickpea
49,71,76,7,chickpea
59,69,80,8,chickpea
20,79,77,8,chickpea
24,56,85,7,chickpea
51,72,75,7,chickpea
57,73,85,7,chickpea
22,64,82,6,chickpea
52,73,79,8,chickpea
29,75,75,7,chickpea
44,59,78,8,chickpea
41,69,82,7,chickpea
52,56,85,7,chickpea
34,76,80,8,chickpea
42,74,83,8,chickpea
34,71,79,8,chickpea
27,73,79,7,chickpea
30,70,79,7,chickpea
57,57,75,8,chickpea
27,79,82,6,chickpea
32,71,85,6,chickpea
31,76,82,8,chickpea
33,75,84,7,chickpea
47,80,77,8,chickpea
54,62,80,7,chickpea
47,79,78,7,chickpea
35,57,83,7,chickpea
53,73,77,7,chickpea
45,61,78,6,chickpea
37,78,79,8,chickpea
30,75,81,6,chickpea
37,55,82,8,chickpea
53,65,76,9,chickpea
22,60,85,8,chickpea
60,61,78,6,chickpea
42,67,77,7,chickpea
39,76,76,8,chickpea
35,63,76,8,chickpea
30,65,82,7,chickpea
57,56,78,9,chickpea
48,65,78,8,chickpea
36,56,83,7,chickpea
40,58,75,7,chickpea
49,69,82,7,chickpea
13,60,25,6,kidneybeans
25,70,16,6,kidneybeans
31,55,22,6,kidneybeans
40,64,16,6,kidneybeans
2,61,20,6,kidneybeans
26,65,22,6,kidneybeans
17,57,21,6,kidneybeans
26,80,18,6,kidneybeans
17,59,17,6,kidneybeans
27,59,22,6,kidneybeans
28,58,24,6,kidneybeans
25,57,19,6,kidneybeans
28,80,17,6,kidneybeans
25,60,22,6,kidneybeans
12,78,23,6,kidneybeans
6,77,25,6,kidneybeans
22,79,17,6,kidneybeans
27,80,15,6,kidneybeans
10,55,23,6,kidneybeans
23,65,20,6,kidneybeans
19,78,16,6,kidneybeans
19,65,25,6,kidneybeans
22,70,19,6,kidneybeans
37,64,22,6,kidneybeans
11,71,17,6,kidneybeans
18,79,20,6,kidneybeans
21,63,17,6,kidneybeans
24,80,22,6,kidneybeans
34,60,22,6,kidneybeans
16,75,21,6,kidneybeans
17,77,23,6,kidneybeans
37,72,18,6,kidneybeans
40,73,20,6,kidneybeans
9,77,17,6,kidneybeans
1,62,23,6,kidneybeans
33,59,22,6,kidneybeans
23,59,19,6,kidneybeans
6,62,22,6,kidneybeans
25,63,20,6,kidneybeans
7,79,23,6,kidneybeans
8,72,17,6,kidneybeans
27,64,15,6,kidneybeans
28,66,23,6,kidneybeans
32,57,18,6,kidneybeans
27,56,22,6,kidneybeans
17,77,24,6,kidneybeans
0,65,15,6,kidneybeans
13,72,21,6,kidneybeans
34,60,23,6,kidneybeans
9,80,19,6,kidneybeans
11,72,20,6,kidneybeans
3,67,24,6,kidneybeans
35,69,23,6,kidneybeans
3,77,25,6,kidneybeans
23,62,19,6,kidneybeans
22,71,17,6,kidneybeans
31,79,25,6,kidneybeans
34,59,18,6,kidneybeans
12,63,17,6,kidneybeans
27,56,20,6,kidneybeans
7,63,24,6,kidneybeans
24,67,22,6,kidneybeans
11,71,24,6,kidneybeans
37,74,15,6,kidneybeans
25,76,24,6,kidneybeans
34,66,17,6,kidneybeans
20,69,15,6,kidneybeans
37,65,16,6,kidneybeans
18,74,15,6,kidneybeans
4,67,25,6,kidneybeans
37,56,25,6,kidneybeans
5,59,15,6,kidneybeans
11,61,21,6,kidneybeans
22,80,20,6,kidneybeans
12,61,19,6,kidneybeans
5,74,21,6,kidneybeans
27,69,22,6,kidneybeans
31,75,18,6,kidneybeans
36,68,20,6,kidneybeans
5,65,16,6,kidneybeans
32,79,15,6,kidneybeans
11,78,22,6,kidneybeans
0,55,22,6,kidneybeans
14,59,15,6,kidneybeans
29,68,23,6,kidneybeans
32,68,19,6,kidneybeans
17,64,17,6,kidneybeans
13,69,19,6,kidneybeans
14,67,22,6,kidneybeans
9,69,20,6,kidneybeans
20,73,22,6,kidneybeans
40,78,20,6,kidneybeans
27,72,23,6,kidneybeans
14,67,15,6,kidneybeans
7,56,18,6,kidneybeans
27,65,18,6,kidneybeans
30,63,16,6,kidneybeans
37,70,25,6,kidneybeans
27,63,19,6,kidneybeans
22,60,24,6,kidneybeans
3,72,24,6,pigeonpeas
40,59,23,5,pigeonpeas
33,73,23,6,pigeonpeas
27,57,24,6,pigeonpeas
10,79,18,6,pigeonpeas
30,75,25,6,pigeonpeas
40,70,20,6,pigeonpeas
38,55,19,6,pigeonpeas
35,58,20,6,pigeonpeas
38,61,21,5,pigeonpeas
33,58,24,5,pigeonpeas
16,56,17,7,pigeonpeas
31,72,17,6,pigeonpeas
16,80,20,7,pigeonpeas
27,72,17,6,pigeonpeas
40,62,19,5,pigeonpeas
18,58,16,5,pigeonpeas
3,68,16,5,pigeonpeas
26,67,24,6,pigeonpeas
16,70,20,6,pigeonpeas
24,63,19,5,pigeonpeas
9,76,25,6,pigeonpeas
16,55,19,6,pigeonpeas
28,75,21,6,pigeonpeas
16,71,24,5,pigeonpeas
24,70,21,6,pigeonpeas
38,72,21,6,pigeonpeas
9,66,21,6,pigeonpeas
34,56,17,5,pigeonpeas
1,76,19,7,pigeonpeas
6,69,19,5,pigeonpeas
26,73,21,5,pigeonpeas
27,61,18,5,pigeonpeas
27,71,23,7,pigeonpeas
36,61,21,6,pigeonpeas
17,73,18,6,pigeonpeas
26,72,22,5,pigeonpeas
17,64,16,7,pigeonpeas
14,74,19,7,pigeonpeas
39,60,15,5,pigeonpeas
6,66,15,6,pigeonpeas
8,59,18,6,pigeonpeas
2,67,18,6,pigeonpeas
1,76,17,6,pigeonpeas
16,73,19,5,pigeonpeas
23,75,25,7,pigeonpeas
32,70,20,6,pigeonpeas
28,59,22,7,pigeonpeas
5,62,23,5,pigeonpeas
36,67,25,6,pigeonpeas
1,66,23,5,pigeonpeas
24,73,20,5,pigeonpeas
17,67,18,6,pigeonpeas
5,55,18,7,pigeonpeas
5,56,24,5,pigeonpeas
37,77,17,6,pigeonpeas
13,73,20,5,pigeonpeas
6,63,23,6,pigeonpeas
16,77,22,7,pigeonpeas
25,64,20,5,pigeonpeas
34,75,24,5,pigeonpeas
20,77,23,5,pigeonpeas
35,80,25,5,pigeonpeas
14,75,24,6,pigeonpeas
36,80,21,7,pigeonpeas
7,77,18,7,pigeonpeas
29,78,25,6,pigeonpeas
30,60,21,5,pigeonpeas
20,74,16,5,pigeonpeas
19,57,23,7,pigeonpeas
3,60,19,5,pigeonpeas
5,77,19,6,pigeonpeas
5,68,20,5,pigeonpeas
37,73,21,6,pigeonpeas
9,59,24,5,pigeonpeas
20,72,15,7,pigeonpeas
31,56,23,6,pigeonpeas
0,70,21,5,pigeonpeas
21,74,15,6,pigeonpeas
13,67,18,5,pigeonpeas
27,74,20,6,pigeonpeas
29,72,24,7,pigeonpeas
5,68,20,6,pigeonpeas
39,57,19,6,pigeonpeas
22,62,16,5,pigeonpeas
18,55,23,7,pigeonpeas
39,77,21,5,pigeonpeas
13,75,20,7,pigeonpeas
27,71,24,7,pigeonpeas
26,64,22,5,pigeonpeas
23,55,16,5,pigeonpeas
4,69,19,5,pigeonpeas
20,67,19,6,pigeonpeas
7,74,17,6,pigeonpeas
17,64,18,6,pigeonpeas
35,71,17,7,pigeonpeas
11,72,22,7,pigeonpeas
20,60,22,7,pigeonpeas
10,71,18,6,pigeonpeas
33,61,24,5,pigeonpeas
3,49,18,4,mothbeans
22,59,23,4,mothbeans
36,58,25,8,mothbeans
4,43,18,9,mothbeans
29,54,16,8,mothbeans
32,43,22,5,mothbeans
14,55,15,8,mothbeans
5,35,20,10,mothbeans
25,57,24,7,mothbeans
11,53,24,7,mothbeans
40,49,17,7,mothbeans
38,56,25,8,mothbeans
27,43,23,6,mothbeans
24,38,22,8,mothbeans
23,45,21,9,mothbeans
29,57,20,6,mothbeans
31,35,23,8,mothbeans
0,55,25,5,mothbeans
7,45,22,10,mothbeans
17,58,25,6,mothbeans
11,44,17,8,mothbeans
22,49,22,4,mothbeans
9,51,19,5,mothbeans
28,48,15,9,mothbeans
26,50,19,6,mothbeans
36,56,20,7,mothbeans
8,60,18,4,mothbeans
24,37,21,6,mothbeans
22,43,24,5,mothbeans
36,43,24,4,mothbeans
22,44,24,6,mothbeans
17,43,22,5,mothbeans
8,45,15,5,mothbeans
7,56,23,6,mothbeans
36,57,16,8,mothbeans
11,45,19,4,mothbeans
6,36,22,9,mothbeans
17,57,20,4,mothbeans
4,47,20,4,mothbeans
9,49,16,8,mothbeans
25,51,24,9,mothbeans
36,44,21,5,mothbeans
21,38,20,6,mothbeans
37,57,20,7,mothbeans
32,48,18,6,mothbeans
29,44,20,9,mothbeans
25,51,18,9,mothbeans
10,44,24,8,mothbeans
23,35,18,5,mothbeans
9,60,23,6,mothbeans
3,58,21,9,mothbeans
22,42,22,8,mothbeans
12,39,21,8,mothbeans
39,36,22,9,mothbeans
32,41,16,8,mothbeans
30,41,15,6,mothbeans
19,36,22,6,mothbeans
4,46,15,4,mothbeans
21,39,20,7,mothbeans
35,57,25,8,mothbeans
22,55,24,9,mothbeans
35,51,17,4,mothbeans
17,56,17,6,mothbeans
28,57,17,9,mothbeans
22,36,16,8,mothbeans
11,41,19,5,mothbeans
38,38,18,6,mothbeans
23,37,24,8,mothbeans
25,35,20,9,mothbeans
40,45,20,7,mothbeans
23,58,19,5,mothbeans
2,56,23,8,mothbeans
3,56,17,9,mothbeans
26,51,25,8,mothbeans
39,42,20,8,mothbeans
27,59,20,4,mothbeans
24,45,19,6,mothbeans
7,40,17,9,mothbeans
15,45,23,7,mothbeans
26,52,23,5,mothbeans
20,45,16,5,mothbeans
34,54,24,5,mothbeans
19,51,25,4,mothbeans
29,41,21,9,mothbeans
20,50,22,9,mothbeans
11,40,23,6,mothbeans
15,54,15,8,mothbeans
35,55,22,9,mothbeans
9,59,25,8,mothbeans
40,45,18,5,mothbeans
35,38,19,9,mothbeans
14,58,17,5,mothbeans
40,55,18,7,mothbeans
18,36,23,7,mothbeans
35,52,15,10,mothbeans
4,59,22,9,mothbeans
22,51,16,9,mothbeans
33,47,17,9,mothbeans
2,51,17,6,mothbeans
16,51,21,4,mothbeans
19,55,20,7,mungbean
8,54,20,7,mungbean
36,55,20,7,mungbean
10,56,16,7,mungbean
22,56,17,7,mungbean
9,57,24,7,mungbean
34,59,23,7,mungbean
31,51,25,7,mungbean
0,49,18,7,mungbean
21,39,20,7,mungbean
28,35,22,7,mungbean
17,52,17,6,mungbean
24,42,23,6,mungbean
28,46,16,7,mungbean
21,38,21,7,mungbean
34,60,25,7,mungbean
19,53,22,7,mungbean
31,58,15,7,mungbean
19,35,24,7,mungbean
24,53,17,6,mungbean
13,47,20,7,mungbean
31,53,16,6,mungbean
28,45,23,6,mungbean
31,37,21,7,mungbean
33,60,15,7,mungbean
34,45,21,6,mungbean
13,57,25,7,mungbean
33,57,17,7,mungbean
32,57,22,7,mungbean
23,59,25,6,mungbean
35,41,18,7,mungbean
6,48,24,7,mungbean
29,36,25,7,mungbean
4,36,22,7,mungbean
10,59,22,7,mungbean
14,48,21,7,mungbean
8,50,21,6,mungbean
20,40,15,7,mungbean
36,43,22,6,mungbean
14,57,15,7,mungbean
11,60,23,7,mungbean
10,59,15,6,mungbean
7,60,25,6,mungbean
2,47,15,6,mungbean
20,45,22,7,mungbean
2,39,15,6,mungbean
27,40,24,7,mungbean
35,48,15,7,mungbean
4,59,25,6,mungbean
1,48,24,6,mungbean
36,43,21,7,mungbean
11,46,24,6,mungbean
34,47,19,7,mungbean
21,44,18,7,mungbean
17,58,20,6,mungbean
25,40,21,6,mungbean
2,38,18,7,mungbean
9,48,20,6,mungbean
37,49,25,6,mungbean
36,38,15,6,mungbean
40,58,15,7,mungbean
30,44,16,6,mungbean
1,59,23,7,mungbean
9,48,22,6,mungbean
14,41,17,7,mungbean
35,52,19,7,mungbean
31,48,17,7,mungbean
4,41,20,7,mungbean
30,37,25,7,mungbean
9,35,20,7,mungbean
20,41,20,7,mungbean
37,50,23,7,mungbean
34,35,21,7,mungbean
14,37,15,7,mungbean
23,39,22,7,mungbean
5,45,21,6,mungbean
22,37,20,7,mungbean
40,51,17,7,mungbean
27,56,20,6,mungbean
31,40,22,6,mungbean
38,36,21,7,mungbean
6,37,17,7,mungbean
6,47,18,7,mungbean
24,44,17,7,mungbean
25,59,19,7,mungbean
32,56,21,7,mungbean
8,45,18,7,mungbean
19,39,17,7,mungbean
39,37,15,7,mungbean
33,37,19,7,mungbean
26,54,17,6,mungbean
21,51,15,7,mungbean
22,54,20,7,mungbean
29,45,16,7,mungbean
4,40,21,7,mungbean
10,37,22,7,mungbean
4,44,19,7,mungbean
20,45,17,7,mungbean
23,45,23,7,mungbean
25,48,21,6,mungbean
56,79,15,7,blackgram
25,62,21,7,blackgram
42,61,22,7,blackgram
42,73,25,7,blackgram
44,58,18,7,blackgram
50,55,16,8,blackgram
35,72,21,8,blackgram
30,64,20,7,blackgram
27,64,21,8,blackgram
50,74,17,7,blackgram
39,73,24,7,blackgram
57,67,25,8,blackgram
52,63,19,7,blackgram
55,66,22,8,blackgram
51,56,18,7,blackgram
36,66,15,7,blackgram
59,55,19,7,blackgram
50,58,23,8,blackgram
30,65,25,8,blackgram
20,62,18,7,blackgram
58,71,15,7,blackgram
25,71,24,7,blackgram
52,71,16,7,blackgram
40,63,18,7,blackgram
20,60,25,7,blackgram
48,61,21,7,blackgram
49,68,22,7,blackgram
48,62,15,8,blackgram
32,66,17,7,blackgram
21,63,22,7,blackgram
20,72,19,7,blackgram
25,65,21,7,blackgram
41,78,21,7,blackgram
53,67,17,7,blackgram
39,60,21,7,blackgram
25,76,17,7,blackgram
21,78,19,7,blackgram
57,60,17,8,blackgram
56,75,15,7,blackgram
49,72,15,7,blackgram
24,80,19,7,blackgram
49,76,18,7,blackgram
28,68,19,8,blackgram
55,78,21,7,blackgram
50,64,25,7,blackgram
34,80,19,7,blackgram
20,68,23,8,blackgram
55,67,16,7,blackgram
23,70,15,7,blackgram
53,74,15,8,blackgram
26,67,16,7,blackgram
33,80,22,7,blackgram
37,79,19,7,blackgram
33,75,21,7,blackgram
22,55,20,7,blackgram
20,68,17,7,blackgram
43,68,20,7,blackgram
44,76,22,8,blackgram
34,60,16,7,blackgram
21,72,17,8,blackgram
25,68,19,7,blackgram
41,62,15,7,blackgram
28,65,23,7,blackgram
35,64,15,7,blackgram
52,58,16,7,blackgram
58,75,25,7,blackgram
34,66,19,8,blackgram
52,70,16,8,blackgram
23,57,19,7,blackgram
42,58,25,7,blackgram
37,62,17,7,blackgram
44,75,22,8,blackgram
21,80,20,7,blackgram
56,76,16,8,blackgram
29,76,15,7,blackgram
43,61,20,7,blackgram
55,60,15,7,blackgram
44,63,15,7,blackgram
29,67,21,7,blackgram
47,63,16,7,blackgram
40,68,17,8,blackgram
58,61,15,7,blackgram
41,74,18,7,blackgram
58,79,17,7,blackgram
27,62,24,7,blackgram
27,60,17,7,blackgram
52,65,20,7,blackgram
44,55,25,7,blackgram
21,62,24,7,blackgram
60,59,22,7,blackgram
33,77,21,7,blackgram
59,58,17,7,blackgram
29,63,17,7,blackgram
59,63,18,7,blackgram
29,70,15,7,blackgram
58,73,16,7,blackgram
55,77,22,8,blackgram
42,79,23,7,blackgram
44,77,21,7,blackgram
38,62,25,7,blackgram
32,76,15,8,lentil
13,61,22,8,lentil
38,60,20,7,lentil
11,74,17,7,lentil
37,71,16,7,lentil
29,71,18,6,lentil
2,72,18,8,lentil
6,59,21,6,lentil
13,64,20,7,lentil
8,58,17,7,lentil
6,77,20,6,lentil
2,75,22,7,lentil
3,69,23,7,lentil
27,80,24,8,lentil
39,78,15,6,lentil
40,79,17,6,lentil
37,62,22,7,lentil
31,60,24,8,lentil
22,67,22,7,lentil
3,78,18,7,lentil
4,80,16,7,lentil
13,61,24,8,lentil
12,66,20,7,lentil
4,61,21,7,lentil
9,60,21,8,lentil
18,66,22,6,lentil
32,56,18,7,lentil
6,72,15,8,lentil
15,77,20,7,lentil
0,65,24,8,lentil
30,79,22,6,lentil
3,63,16,7,lentil
2,78,23,7,lentil
10,78,18,6,lentil
14,67,25,7,lentil
39,65,23,8,lentil
19,72,15,7,lentil
18,57,21,6,lentil
31,58,15,6,lentil
28,58,25,7,lentil
5,65,19,7,lentil
16,65,19,7,lentil
34,65,19,6,lentil
14,69,19,7,lentil
22,55,16,7,lentil
24,61,17,6,lentil
2,79,15,8,lentil
26,63,17,7,lentil
27,61,15,7,lentil
24,70,16,7,lentil
13,74,25,6,lentil
6,64,23,7,lentil
12,58,23,7,lentil
32,79,22,6,lentil
6,68,18,7,lentil
10,79,20,6,lentil
38,77,22,6,lentil
17,74,17,7,lentil
26,68,24,8,lentil
23,75,17,7,lentil
32,78,22,7,lentil
19,79,19,7,lentil
22,60,18,7,lentil
28,69,16,7,lentil
1,67,21,7,lentil
12,67,23,7,lentil
36,67,20,7,lentil
28,70,21,7,lentil
12,71,19,7,lentil
22,68,16,8,lentil
26,66,22,6,lentil
16,65,16,6,lentil
14,59,22,7,lentil
33,59,19,8,lentil
21,63,17,7,lentil
0,69,21,7,lentil
10,75,17,8,lentil
30,61,18,6,lentil
0,74,17,7,lentil
35,74,22,7,lentil
7,63,24,7,lentil
9,56,17,6,lentil
14,74,15,6,lentil
14,76,20,7,lentil
36,65,16,8,lentil
28,67,21,6,lentil
28,79,16,6,lentil
40,61,22,7,lentil
10,70,19,7,lentil
12,80,19,6,lentil
37,77,20,7,lentil
0,67,22,7,lentil
7,73,25,7,lentil
10,56,18,7,lentil
39,70,15,6,lentil
26,56,22,7,lentil
9,77,17,6,lentil
4,59,19,8,lentil
34,73,15,8,lentil
33,77,15,8,lentil
2,24,38,6,pomegranate
6,18,37,6,pomegranate
8,26,36,7,pomegranate
37,18,39,6,pomegranate
0,27,38,7,pomegranate
31,25,38,6,pomegranate
21,21,38,6,pomegranate
6,30,40,6,pomegranate
25,27,41,7,pomegranate
15,11,38,7,pomegranate
14,5,36,6,pomegranate
16,10,41,7,pomegranate
36,7,37,6,pomegranate
4,20,41,7,pomegranate
29,22,40,6,pomegranate
16,15,42,7,pomegranate
18,27,41,7,pomegranate
11,18,42,6,pomegranate
5,15,38,6,pomegranate
18,23,44,6,pomegranate
9,8,40,7,pomegranate
40,27,45,6,pomegranate
22,23,44,6,pomegranate
9,16,39,6,pomegranate
12,29,40,7,pomegranate
0,17,42,7,pomegranate
2,21,44,7,pomegranate
28,6,40,7,pomegranate
8,23,44,7,pomegranate
29,16,36,6,pomegranate
17,18,43,6,pomegranate
34,21,42,7,pomegranate
21,23,42,7,pomegranate
25,17,40,7,pomegranate
8,25,36,7,pomegranate
26,18,42,7,pomegranate
4,19,42,6,pomegranate
36,24,41,7,pomegranate
5,24,40,6,pomegranate
19,17,39,7,pomegranate
39,30,38,7,pomegranate
5,29,44,6,pomegranate
4,24,43,7,pomegranate
38,21,35,6,pomegranate
37,11,36,7,pomegranate
9,25,41,6,pomegranate
29,22,43,6,pomegranate
5,21,38,6,pomegranate
22,26,38,7,pomegranate
4,18,37,7,pomegranate
21,6,41,7,pomegranate
29,21,45,7,pomegranate
23,5,44,7,pomegranate
13,7,43,7,pomegranate
5,13,37,6,pomegranate
27,24,41,7,pomegranate
7,23,35,7,pomegranate
12,20,39,6,pomegranate
4,19,43,6,pomegranate
3,9,45,7,pomegranate
1,27,36,6,pomegranate
23,30,44,6,pomegranate
24,21,42,7,pomegranate
13,30,37,6,pomegranate
40,11,44,6,pomegranate
21,9,40,6,pomegranate
3,27,44,7,pomegranate
40,29,42,7,pomegranate
14,25,40,6,pomegranate
38,14,37,7,pomegranate
34,9,36,6,pomegranate
32,14,37,7,pomegranate
18,21,35,6,pomegranate
8,23,38,7,pomegranate
15,6,41,7,pomegranate
0,5,36,6,pomegranate
22,9,44,6,pomegranate
14,8,43,7,pomegranate
31,11,45,6,pomegranate
39,17,45,7,pomegranate
10,5,42,7,pomegranate
8,28,38,7,pomegranate
32,13,42,6,pomegranate
18,9,40,6,pomegranate
20,27,41,6,pomegranate
39,25,36,6,pomegranate
20,7,45,6,pomegranate
11,10,45,6,pomegranate
40,18,43,6,pomegranate
3,26,39,7,pomegranate
9,16,36,6,pomegranate
30,20,38,7,pomegranate
40,9,41,6,pomegranate
40,30,35,6,pomegranate
32,25,35,6,pomegranate
33,23,45,7,pomegranate
4,14,41,6,pomegranate
13,17,45,7,pomegranate
39,24,39,6,pomegranate
8,28,37,6,pomegranate
91,94,46,6,banana
105,95,50,6,banana
108,92,53,6,banana
86,76,54,6,banana
80,77,49,6,banana
93,94,53,6,banana
90,92,55,6,banana
108,89,53,6,banana
108,88,55,6,banana
105,77,52,6,banana
118,88,52,6,banana
101,87,54,6,banana
95,75,50,6,banana
106,85,53,6,banana
86,95,49,6,banana
83,79,55,6,banana
85,95,47,6,banana
109,79,45,6,banana
100,76,45,6,banana
117,86,48,6,banana
114,94,53,6,banana
110,78,50,6,banana
94,70,48,6,banana
80,71,47,6,banana
114,79,51,6,banana
88,78,45,6,banana
112,73,48,6,banana
117,76,47,6,banana
111,87,48,6,banana
89,83,47,6,banana
93,91,47,6,banana
92,81,52,6,banana
105,74,45,6,banana
102,71,48,6,banana
94,91,51,6,banana
116,71,47,6,banana
117,79,49,6,banana
119,72,55,6,banana
99,73,53,6,banana
91,84,52,6,banana
80,90,47,6,banana
101,70,48,6,banana
108,89,53,6,banana
100,80,52,6,banana
109,91,53,6,banana
82,78,46,6,banana
106,70,55,6,banana
90,86,52,6,banana
83,95,50,6,banana
119,90,48,6,banana
107,72,45,6,banana
116,81,55,6,banana
101,75,50,6,banana
93,81,50,6,banana
95,75,45,6,banana
107,71,55,6,banana
83,94,47,6,banana
102,73,54,6,banana
86,79,45,6,banana
117,86,53,6,banana
111,79,53,6,banana
95,74,50,6,banana
91,75,55,6,banana
93,83,46,6,banana
92,85,51,6,banana
104,80,54,6,banana
103,72,51,6,banana
92,75,45,6,banana
93,85,49,6,banana
120,87,52,6,banana
