N,P,K,ph,crop,crop_binary
68,41,16,6,maize,0
93,41,17,6,maize,0
89,60,19,6,maize,0
76,44,17,6,maize,0
67,60,25,6,maize,0
70,44,19,6,maize,0
90,49,21,6,maize,0
62,52,16,7,maize,0
92,44,16,6,maize,0
66,54,21,6,maize,0
63,58,22,6,maize,0
70,47,17,7,maize,0
61,41,17,6,maize,0
66,53,19,6,maize,0
74,55,19,6,maize,0
77,57,21,7,maize,0
99,50,15,6,maize,0
74,56,22,7,maize,0
83,45,21,6,maize,0
100,48,16,6,maize,0
79,51,16,7,maize,0
94,39,18,6,maize,0
75,49,15,6,maize,0
78,48,22,6,maize,0
87,54,20,7,maize,0
87,35,25,6,maize,0
63,43,19,7,maize,0
84,57,25,6,maize,0
64,35,23,6,maize,0
60,46,22,7,maize,0
98,44,21,7,maize,0
75,56,18,6,maize,0
86,55,21,7,maize,0
98,35,18,6,maize,0
76,57,18,6,maize,0
99,56,17,6,maize,0
60,44,23,6,maize,0
74,48,17,6,maize,0
89,60,17,6,maize,0
69,51,23,7,maize,0
96,46,22,6,maize,0
61,60,15,6,maize,0
74,58,18,7,maize,0
74,43,23,6,maize,0
63,43,17,7,maize,0
99,36,20,7,maize,0
77,36,23,7,maize,0
87,60,23,6,maize,0
60,38,17,6,maize,0
94,54,17,6,maize,0
95,38,22,6,maize,0
84,44,21,6,maize,0
77,58,19,6,maize,0
66,44,20,7,maize,0
63,35,16,6,maize,0
79,45,20,6,maize,0
72,60,25,6,maize,0
67,51,24,6,maize,0
86,36,24,6,maize,0
76,48,18,6,maize,0
75,53,18,7,maize,0
81,45,23,6,maize,0
73,45,21,7,maize,0
71,35,24,6,maize,0
96,54,22,7,maize,0
99,39,18,6,maize,0
62,48,20,7,maize,0
86,37,16,6,maize,0
94,50,19,6,maize,0
76,39,24,7,maize,0
77,52,17,6,maize,0
74,39,23,7,maize,0
81,49,20,6,maize,0
63,42,21,6,maize,0
99,38,21,6,maize,0
90,52,25,7,maize,0
68,40,19,7,maize,0
60,57,24,6,maize,0
71,52,18,6,maize,0
61,59,17,6,maize,0
88,38,15,6,maize,0
65,60,22,7,maize,0
78,37,22,6,maize,0
78,58,15,7,maize,0
92,60,23,6,maize,0
79,59,17,7,maize,0
91,55,15,6,maize,0
76,51,18,6,maize,0
87,48,25,7,maize,0
71,60,22,6,maize,0
90,57,24,6,maize,0
67,35,22,6,maize,0
60,54,19,6,maize,0
83,58,23,6,maize,0
83,57,19,7,maize,0
40,72,77,7,chickpea,0
23,72,84,7,chickpea,0
39,58,85,6,chickpea,0
22,72,85,6,chickpea,0
36,67,77,7,chickpea,0
32,73,81,6,chickpea,0
58,70,84,6,chickpea,0
59,70,84,8,chickpea,0
42,62,75,7,chickpea,0
28,74,81,9,chickpea,0
58,66,79,9,chickpea,0
43,66,79,8,chickpea,0
58,63,81,7,chickpea,0
23,62,85,8,chickpea,0
27,62,77,7,chickpea,0
28,72,84,6,chickpea,0
50,56,76,8,chickpea,0
39,71,84,8,chickpea,0
25,78,76,7,chickpea,0
31,70,77,6,chickpea,0
26,80,83,8,chickpea,0
25,68,77,8,chickpea,0
31,78,76,9,chickpea,0
60,68,83,7,chickpea,0
59,62,83,8,chickpea,0
22,67,78,6,chickpea,0
36,65,80,6,chickpea,0
59,60,84,8,chickpea,0
54,77,85,8,chickpea,0
43,68,81,7,chickpea,0
28,76,82,7,chickpea,0
42,79,85,6,chickpea,0
32,60,83,9,chickpea,0
22,78,76,9,chickpea,0
31,79,75,8,chickpea,0
28,58,81,6,chickpea,0
57,58,77,8,chickpea,0
49,55,78,8,chickpea,0
46,76,77,7,chickpea,0
54,61,77,6,chickpea,0
38,60,76,9,chickpea,0
59,55,79,9,chickpea,0
36,76,75,9,chickpea,0
57,68,81,8,chickpea,0
35,66,81,6,chickpea,0
35,64,78,7,chickpea,0
52,60,79,8,chickpea,0
27,76,83,6,chickpea,0
57,60,84,7,chickpea,0
52,68,78,7,chickpea,0
43,79,79,8,chickpea,0
44,74,85,7,chickpea,0
24,55,78,7,chickpea,0
29,77,75,8,chickpea,0
20,60,78,6,chickpea,0
56,67,78,8,chickpea,0
37,66,85,6,chickpea,0
49,71,76,7,chickpea,0
59,69,80,8,chickpea,0
20,79,77,8,chickpea,0
24,56,85,7,chickpea,0
51,72,75,7,chickpea,0
57,73,85,7,chickpea,0
22,64,82,6,chickpea,0
52,73,79,8,chickpea,0
29,75,75,7,chickpea,0
44,59,78,8,chickpea,0
41,69,82,7,chickpea,0
52,56,85,7,chickpea,0
34,76,80,8,chickpea,0
42,74,83,8,chickpea,0
34,71,79,8,chickpea,0
27,73,79,7,chickpea,0
30,70,79,7,chickpea,0
57,57,75,8,chickpea,0
27,79,82,6,chickpea,0
32,71,85,6,chickpea,0
31,76,82,8,chickpea,0
33,75,84,7,chickpea,0
47,80,77,8,chickpea,0
54,62,80,7,chickpea,0
47,79,78,7,chickpea,0
35,57,83,7,chickpea,0
53,73,77,7,chickpea,0
45,61,78,6,chickpea,0
37,78,79,8,chickpea,0
30,75,81,6,chickpea,0
37,55,82,8,chickpea,0
53,65,76,9,chickpea,0
22,60,85,8,chickpea,0
60,61,78,6,chickpea,0
42,67,77,7,chickpea,0
39,76,76,8,chickpea,0
35,63,76,8,chickpea,0
30,65,82,7,chickpea,0
57,56,78,9,chickpea,0
48,65,78,8,chickpea,0
36,56,83,7,chickpea,0
40,58,75,7,chickpea,0
49,69,82,7,chickpea,0
13,60,25,6,kidneybeans,0
25,70,16,6,kidneybeans,0
31,55,22,6,kidneybeans,0
40,64,16,6,kidneybeans,0
2,61,20,6,kidneybeans,0
26,65,22,6,kidneybeans,0
17,57,21,6,kidneybeans,0
26,80,18,6,kidneybeans,0
17,59,17,6,kidneybeans,0
27,59,22,6,kidneybeans,0
28,58,24,6,kidneybeans,0
25,57,19,6,kidneybeans,0
28,80,17,6,kidneybeans,0
25,60,22,6,kidneybeans,0
12,78,23,6,kidneybeans,0
6,77,25,6,kidneybeans,0
22,79,17,6,kidneybeans,0
27,80,15,6,kidneybeans,0
10,55,23,6,kidneybeans,0
23,65,20,6,kidneybeans,0
19,78,16,6,kidneybeans,0
19,65,25,6,kidneybeans,0
22,70,19,6,kidneybeans,0
37,64,22,6,kidneybeans,0
11,71,17,6,kidneybeans,0
18,79,20,6,kidneybeans,0
21,63,17,6,kidneybeans,0
24,80,22,6,kidneybeans,0
34,60,22,6,kidneybeans,0
16,75,21,6,kidneybeans,0
17,77,23,6,kidneybeans,0
37,72,18,6,kidneybeans,0
40,73,20,6,kidneybeans,0
9,77,17,6,kidneybeans,0
1,62,23,6,kidneybeans,0
33,59,22,6,kidneybeans,0
23,59,19,6,kidneybeans,0
6,62,22,6,kidneybeans,0
25,63,20,6,kidneybeans,0
7,79,23,6,kidneybeans,0
8,72,17,6,kidneybeans,0
27,64,15,6,kidneybeans,0
28,66,23,6,kidneybeans,0
32,57,18,6,kidneybeans,0
27,56,22,6,kidneybeans,0
17,77,24,6,kidneybeans,0
0,65,15,6,kidneybeans,0
13,72,21,6,kidneybeans,0
34,60,23,6,kidneybeans,0
9,80,19,6,kidneybeans,0
11,72,20,6,kidneybeans,0
3,67,24,6,kidneybeans,0
35,69,23,6,kidneybeans,0
3,77,25,6,kidneybeans,0
23,62,19,6,kidneybeans,0
22,71,17,6,kidneybeans,0
31,79,25,6,kidneybeans,0
34,59,18,6,kidneybeans,0
12,63,17,6,kidneybeans,0
27,56,20,6,kidneybeans,0
7,63,24,6,kidneybeans,0
24,67,22,6,kidneybeans,0
11,71,24,6,kidneybeans,0
37,74,15,6,kidneybeans,0
25,76,24,6,kidneybeans,0
34,66,17,6,kidneybeans,0
20,69,15,6,kidneybeans,0
37,65,16,6,kidneybeans,0
18,74,15,6,kidneybeans,0
4,67,25,6,kidneybeans,0
37,56,25,6,kidneybeans,0
5,59,15,6,kidneybeans,0
11,61,21,6,kidneybeans,0
22,80,20,6,kidneybeans,0
12,61,19,6,kidneybeans,0
5,74,21,6,kidneybeans,0
27,69,22,6,kidneybeans,0
31,75,18,6,kidneybeans,0
36,68,20,6,kidneybeans,0
5,65,16,6,kidneybeans,0
32,79,15,6,kidneybeans,0
11,78,22,6,kidneybeans,0
0,55,22,6,kidneybeans,0
14,59,15,6,kidneybeans,0
29,68,23,6,kidneybeans,0
32,68,19,6,kidneybeans,0
17,64,17,6,kidneybeans,0
13,69,19,6,kidneybeans,0
14,67,22,6,kidneybeans,0
9,69,20,6,kidneybeans,0
20,73,22,6,kidneybeans,0
40,78,20,6,kidneybeans,0
27,72,23,6,kidneybeans,0
14,67,15,6,kidneybeans,0
7,56,18,6,kidneybeans,0
27,65,18,6,kidneybeans,0
30,63,16,6,kidneybeans,0
37,70,25,6,kidneybeans,0
27,63,19,6,kidneybeans,0
22,60,24,6,kidneybeans,0
3,72,24,6,pigeonpeas,0
40,59,23,5,pigeonpeas,0
33,73,23,6,pigeonpeas,0
27,57,24,6,pigeonpeas,0
10,79,18,6,pigeonpeas,0
30,75,25,6,pigeonpeas,0
40,70,20,6,pigeonpeas,0
38,55,19,6,pigeonpeas,0
35,58,20,6,pigeonpeas,0
38,61,21,5,pigeonpeas,0
33,58,24,5,pigeonpeas,0
16,56,17,7,pigeonpeas,0
31,72,17,6,pigeonpeas,0
16,80,20,7,pigeonpeas,0
27,72,17,6,pigeonpeas,0
40,62,19,5,pigeonpeas,0
18,58,16,5,pigeonpeas,0
3,68,16,5,pigeonpeas,0
26,67,24,6,pigeonpeas,0
16,70,20,6,pigeonpeas,0
24,63,19,5,pigeonpeas,0
9,76,25,6,pigeonpeas,0
16,55,19,6,pigeonpeas,0
28,75,21,6,pigeonpeas,0
16,71,24,5,pigeonpeas,0
24,70,21,6,pigeonpeas,0
38,72,21,6,pigeonpeas,0
9,66,21,6,pigeonpeas,0
34,56,17,5,pigeonpeas,0
1,76,19,7,pigeonpeas,0
6,69,19,5,pigeonpeas,0
26,73,21,5,pigeonpeas,0
27,61,18,5,pigeonpeas,0
27,71,23,7,pigeonpeas,0
36,61,21,6,pigeonpeas,0
17,73,18,6,pigeonpeas,0
26,72,22,5,pigeonpeas,0
17,64,16,7,pigeonpeas,0
14,74,19,7,pigeonpeas,0
39,60,15,5,pigeonpeas,0
6,66,15,6,pigeonpeas,0
8,59,18,6,pigeonpeas,0
2,67,18,6,pigeonpeas,0
1,76,17,6,pigeonpeas,0
16,73,19,5,pigeonpeas,0
23,75,25,7,pigeonpeas,0
32,70,20,6,pigeonpeas,0
28,59,22,7,pigeonpeas,0
5,62,23,5,pigeonpeas,0
36,67,25,6,pigeonpeas,0
1,66,23,5,pigeonpeas,0
24,73,20,5,pigeonpeas,0
17,67,18,6,pigeonpeas,0
5,55,18,7,pigeonpeas,0
5,56,24,5,pigeonpeas,0
37,77,17,6,pigeonpeas,0
13,73,20,5,pigeonpeas,0
6,63,23,6,pigeonpeas,0
16,77,22,7,pigeonpeas,0
25,64,20,5,pigeonpeas,0
34,75,24,5,pigeonpeas,0
20,77,23,5,pigeonpeas,0
35,80,25,5,pigeonpeas,0
14,75,24,6,pigeonpeas,0
36,80,21,7,pigeonpeas,0
7,77,18,7,pigeonpeas,0
29,78,25,6,pigeonpeas,0
30,60,21,5,pigeonpeas,0
20,74,16,5,pigeonpeas,0
19,57,23,7,pigeonpeas,0
3,60,19,5,pigeonpeas,0
5,77,19,6,pigeonpeas,0
5,68,20,5,pigeonpeas,0
37,73,21,6,pigeonpeas,0
9,59,24,5,pigeonpeas,0
20,72,15,7,pigeonpeas,0
31,56,23,6,pigeonpeas,0
0,70,21,5,pigeonpeas,0
21,74,15,6,pigeonpeas,0
13,67,18,5,pigeonpeas,0
27,74,20,6,pigeonpeas,0
29,72,24,7,pigeonpeas,0
5,68,20,6,pigeonpeas,0
39,57,19,6,pigeonpeas,0
22,62,16,5,pigeonpeas,0
18,55,23,7,pigeonpeas,0
39,77,21,5,pigeonpeas,0
13,75,20,7,pigeonpeas,0
27,71,24,7,pigeonpeas,0
26,64,22,5,pigeonpeas,0
23,55,16,5,pigeonpeas,0
4,69,19,5,pigeonpeas,0
20,67,19,6,pigeonpeas,0
7,74,17,6,pigeonpeas,0
17,64,18,6,pigeonpeas,0
35,71,17,7,pigeonpeas,0
11,72,22,7,pigeonpeas,0
20,60,22,7,pigeonpeas,0
10,71,18,6,pigeonpeas,0
33,61,24,5,pigeonpeas,0
3,49,18,4,mothbeans,0
22,59,23,4,mothbeans,0
36,58,25,8,mothbeans,0
4,43,18,9,mothbeans,0
29,54,16,8,mothbeans,0
32,43,22,5,mothbeans,0
14,55,15,8,mothbeans,0
5,35,20,10,mothbeans,0
25,57,24,7,mothbeans,0
11,53,24,7,mothbeans,0
40,49,17,7,mothbeans,0
38,56,25,8,mothbeans,0
27,43,23,6,mothbeans,0
24,38,22,8,mothbeans,0
23,45,21,9,mothbeans,0
29,57,20,6,mothbeans,0
31,35,23,8,mothbeans,0
0,55,25,5,mothbeans,0
7,45,22,10,mothbeans,0
17,58,25,6,mothbeans,0
11,44,17,8,mothbeans,0
22,49,22,4,mothbeans,0
9,51,19,5,mothbeans,0
28,48,15,9,mothbeans,0
26,50,19,6,mothbeans,0
36,56,20,7,mothbeans,0
8,60,18,4,mothbeans,0
24,37,21,6,mothbeans,0
22,43,24,5,mothbeans,0
36,43,24,4,mothbeans,0
22,44,24,6,mothbeans,0
17,43,22,5,mothbeans,0
8,45,15,5,mothbeans,0
7,56,23,6,mothbeans,0
36,57,16,8,mothbeans,0
11,45,19,4,mothbeans,0
6,36,22,9,mothbeans,0
17,57,20,4,mothbeans,0
4,47,20,4,mothbeans,0
9,49,16,8,mothbeans,0
25,51,24,9,mothbeans,0
36,44,21,5,mothbeans,0
21,38,20,6,mothbeans,0
37,57,20,7,mothbeans,0
32,48,18,6,mothbeans,0
29,44,20,9,mothbeans,0
25,51,18,9,mothbeans,0
10,44,24,8,mothbeans,0
23,35,18,5,mothbeans,0
9,60,23,6,mothbeans,0
3,58,21,9,mothbeans,0
22,42,22,8,mothbeans,0
12,39,21,8,mothbeans,0
39,36,22,9,mothbeans,0
32,41,16,8,mothbeans,0
30,41,15,6,mothbeans,0
19,36,22,6,mothbeans,0
4,46,15,4,mothbeans,0
21,39,20,7,mothbeans,0
35,57,25,8,mothbeans,0
22,55,24,9,mothbeans,0
35,51,17,4,mothbeans,0
17,56,17,6,mothbeans,0
28,57,17,9,mothbeans,0
22,36,16,8,mothbeans,0
11,41,19,5,mothbeans,0
38,38,18,6,mothbeans,0
23,37,24,8,mothbeans,0
25,35,20,9,mothbeans,0
40,45,20,7,mothbeans,0
23,58,19,5,mothbeans,0
2,56,23,8,mothbeans,0
3,56,17,9,mothbeans,0
26,51,25,8,mothbeans,0
39,42,20,8,mothbeans,0
27,59,20,4,mothbeans,0
24,45,19,6,mothbeans,0
7,40,17,9,mothbeans,0
15,45,23,7,mothbeans,0
26,52,23,5,mothbeans,0
20,45,16,5,mothbeans,0
34,54,24,5,mothbeans,0
19,51,25,4,mothbeans,0
29,41,21,9,mothbeans,0
20,50,22,9,mothbeans,0
11,40,23,6,mothbeans,0
15,54,15,8,mothbeans,0
35,55,22,9,mothbeans,0
9,59,25,8,mothbeans,0
40,45,18,5,mothbeans,0
35,38,19,9,mothbeans,0
14,58,17,5,mothbeans,0
40,55,18,7,mothbeans,0
18,36,23,7,mothbeans,0
35,52,15,10,mothbeans,0
4,59,22,9,mothbeans,0
22,51,16,9,mothbeans,0
33,47,17,9,mothbeans,0
2,51,17,6,mothbeans,0
16,51,21,4,mothbeans,0
19,55,20,7,mungbean,0
8,54,20,7,mungbean,0
36,55,20,7,mungbean,0
10,56,16,7,mungbean,0
22,56,17,7,mungbean,0
9,57,24,7,mungbean,0
34,59,23,7,mungbean,0
31,51,25,7,mungbean,0
0,49,18,7,mungbean,0
21,39,20,7,mungbean,0
28,35,22,7,mungbean,0
17,52,17,6,mungbean,0
24,42,23,6,mungbean,0
28,46,16,7,mungbean,0
21,38,21,7,mungbean,0
34,60,25,7,mungbean,0
19,53,22,7,mungbean,0
31,58,15,7,mungbean,0
19,35,24,7,mungbean,0
24,53,17,6,mungbean,0
13,47,20,7,mungbean,0
31,53,16,6,mungbean,0
28,45,23,6,mungbean,0
31,37,21,7,mungbean,0
33,60,15,7,mungbean,0
34,45,21,6,mungbean,0
13,57,25,7,mungbean,0
33,57,17,7,mungbean,0
32,57,22,7,mungbean,0
23,59,25,6,mungbean,0
35,41,18,7,mungbean,0
6,48,24,7,mungbean,0
29,36,25,7,mungbean,0
4,36,22,7,mungbean,0
10,59,22,7,mungbean,0
14,48,21,7,mungbean,0
8,50,21,6,mungbean,0
20,40,15,7,mungbean,0
36,43,22,6,mungbean,0
14,57,15,7,mungbean,0
11,60,23,7,mungbean,0
10,59,15,6,mungbean,0
7,60,25,6,mungbean,0
2,47,15,6,mungbean,0
20,45,22,7,mungbean,0
2,39,15,6,mungbean,0
27,40,24,7,mungbean,0
35,48,15,7,mungbean,0
4,59,25,6,mungbean,0
1,48,24,6,mungbean,0
36,43,21,7,mungbean,0
11,46,24,6,mungbean,0
34,47,19,7,mungbean,0
21,44,18,7,mungbean,0
17,58,20,6,mungbean,0
25,40,21,6,mungbean,0
2,38,18,7,mungbean,0
9,48,20,6,mungbean,0
37,49,25,6,mungbean,0
36,38,15,6,mungbean,0
40,58,15,7,mungbean,0
30,44,16,6,mungbean,0
1,59,23,7,mungbean,0
9,48,22,6,mungbean,0
14,41,17,7,mungbean,0
35,52,19,7,mungbean,0
31,48,17,7,mungbean,0
4,41,20,7,mungbean,0
30,37,25,7,mungbean,0
9,35,20,7,mungbean,0
20,41,20,7,mungbean,0
37,50,23,7,mungbean,0
34,35,21,7,mungbean,0
14,37,15,7,mungbean,0
23,39,22,7,mungbean,0
5,45,21,6,mungbean,0
22,37,20,7,mungbean,0
40,51,17,7,mungbean,0
27,56,20,6,mungbean,0
31,40,22,6,mungbean,0
38,36,21,7,mungbean,0
6,37,17,7,mungbean,0
6,47,18,7,mungbean,0
24,44,17,7,mungbean,0
25,59,19,7,mungbean,0
32,56,21,7,mungbean,0
8,45,18,7,mungbean,0
19,39,17,7,mungbean,0
39,37,15,7,mungbean,0
33,37,19,7,mungbean,0
26,54,17,6,mungbean,0
21,51,15,7,mungbean,0
22,54,20,7,mungbean,0
29,45,16,7,mungbean,0
4,40,21,7,mungbean,0
10,37,22,7,mungbean,0
4,44,19,7,mungbean,0
20,45,17,7,mungbean,0
23,45,23,7,mungbean,0
25,48,21,6,mungbean,0
56,79,15,7,blackgram,0
25,62,21,7,blackgram,0
42,61,22,7,blackgram,0
42,73,25,7,blackgram,0
44,58,18,7,blackgram,0
50,55,16,8,blackgram,0
35,72,21,8,blackgram,0
30,64,20,7,blackgram,0
27,64,21,8,blackgram,0
50,74,17,7,blackgram,0
39,73,24,7,blackgram,0
57,67,25,8,blackgram,0
52,63,19,7,blackgram,0
55,66,22,8,blackgram,0
51,56,18,7,blackgram,0
36,66,15,7,blackgram,0
59,55,19,7,blackgram,0
50,58,23,8,blackgram,0
30,65,25,8,blackgram,0
20,62,18,7,blackgram,0
58,71,15,7,blackgram,0
25,71,24,7,blackgram,0
52,71,16,7,blackgram,0
40,63,18,7,blackgram,0
20,60,25,7,blackgram,0
48,61,21,7,blackgram,0
49,68,22,7,blackgram,0
48,62,15,8,blackgram,0
32,66,17,7,blackgram,0
21,63,22,7,blackgram,0
20,72,19,7,blackgram,0
25,65,21,7,blackgram,0
41,78,21,7,blackgram,0
53,67,17,7,blackgram,0
39,60,21,7,blackgram,0
25,76,17,7,blackgram,0
21,78,19,7,blackgram,0
57,60,17,8,blackgram,0
56,75,15,7,blackgram,0
49,72,15,7,blackgram,0
24,80,19,7,blackgram,0
49,76,18,7,blackgram,0
28,68,19,8,blackgram,0
55,78,21,7,blackgram,0
50,64,25,7,blackgram,0
34,80,19,7,blackgram,0
20,68,23,8,blackgram,0
55,67,16,7,blackgram,0
23,70,15,7,blackgram,0
53,74,15,8,blackgram,0
26,67,16,7,blackgram,0
33,80,22,7,blackgram,0
37,79,19,7,blackgram,0
33,75,21,7,blackgram,0
22,55,20,7,blackgram,0
20,68,17,7,blackgram,0
43,68,20,7,blackgram,0
44,76,22,8,blackgram,0
34,60,16,7,blackgram,0
21,72,17,8,blackgram,0
25,68,19,7,blackgram,0
41,62,15,7,blackgram,0
28,65,23,7,blackgram,0
35,64,15,7,blackgram,0
52,58,16,7,blackgram,0
58,75,25,7,blackgram,0
34,66,19,8,blackgram,0
52,70,16,8,blackgram,0
23,57,19,7,blackgram,0
42,58,25,7,blackgram,0
37,62,17,7,blackgram,0
44,75,22,8,blackgram,0
21,80,20,7,blackgram,0
56,76,16,8,blackgram,0
29,76,15,7,blackgram,0
43,61,20,7,blackgram,0
55,60,15,7,blackgram,0
44,63,15,7,blackgram,0
29,67,21,7,blackgram,0
47,63,16,7,blackgram,0
40,68,17,8,blackgram,0
58,61,15,7,blackgram,0
41,74,18,7,blackgram,0
58,79,17,7,blackgram,0
27,62,24,7,blackgram,0
27,60,17,7,blackgram,0
52,65,20,7,blackgram,0
44,55,25,7,blackgram,0
21,62,24,7,blackgram,0
60,59,22,7,blackgram,0
33,77,21,7,blackgram,0
59,58,17,7,blackgram,0
29,63,17,7,blackgram,0
59,63,18,7,blackgram,0
29,70,15,7,blackgram,0
58,73,16,7,blackgram,0
55,77,22,8,blackgram,0
42,79,23,7,blackgram,0
44,77,21,7,blackgram,0
38,62,25,7,blackgram,0
32,76,15,8,lentil,0
13,61,22,8,lentil,0
38,60,20,7,lentil,0
11,74,17,7,lentil,0
37,71,16,7,lentil,0
29,71,18,6,lentil,0
2,72,18,8,lentil,0
6,59,21,6,lentil,0
13,64,20,7,lentil,0
8,58,17,7,lentil,0
6,77,20,6,lentil,0
2,75,22,7,lentil,0
3,69,23,7,lentil,0
27,80,24,8,lentil,0
39,78,15,6,lentil,0
40,79,17,6,lentil,0
37,62,22,7,lentil,0
31,60,24,8,lentil,0
22,67,22,7,lentil,0
3,78,18,7,lentil,0
4,80,16,7,lentil,0
13,61,24,8,lentil,0
12,66,20,7,lentil,0
4,61,21,7,lentil,0
9,60,21,8,lentil,0
18,66,22,6,lentil,0
32,56,18,7,lentil,0
6,72,15,8,lentil,0
15,77,20,7,lentil,0
0,65,24,8,lentil,0
30,79,22,6,lentil,0
3,63,16,7,lentil,0
2,78,23,7,lentil,0
10,78,18,6,lentil,0
14,67,25,7,lentil,0
39,65,23,8,lentil,0
19,72,15,7,lentil,0
18,57,21,6,lentil,0
31,58,15,6,lentil,0
28,58,25,7,lentil,0
5,65,19,7,lentil,0
16,65,19,7,lentil,0
34,65,19,6,lentil,0
14,69,19,7,lentil,0
22,55,16,7,lentil,0
24,61,17,6,lentil,0
2,79,15,8,lentil,0
26,63,17,7,lentil,0
27,61,15,7,lentil,0
24,70,16,7,lentil,0
13,74,25,6,lentil,0
6,64,23,7,lentil,0
12,58,23,7,lentil,0
32,79,22,6,lentil,0
6,68,18,7,lentil,0
10,79,20,6,lentil,0
38,77,22,6,lentil,0
17,74,17,7,lentil,0
26,68,24,8,lentil,0
23,75,17,7,lentil,0
32,78,22,7,lentil,0
19,79,19,7,lentil,0
22,60,18,7,lentil,0
28,69,16,7,lentil,0
1,67,21,7,lentil,0
12,67,23,7,lentil,0
36,67,20,7,lentil,0
28,70,21,7,lentil,0
12,71,19,7,lentil,0
22,68,16,8,lentil,0
26,66,22,6,lentil,0
16,65,16,6,lentil,0
14,59,22,7,lentil,0
33,59,19,8,lentil,0
21,63,17,7,lentil,0
0,69,21,7,lentil,0
10,75,17,8,lentil,0
30,61,18,6,lentil,0
0,74,17,7,lentil,0
35,74,22,7,lentil,0
7,63,24,7,lentil,0
9,56,17,6,lentil,0
14,74,15,6,lentil,0
14,76,20,7,lentil,0
36,65,16,8,lentil,0
28,67,21,6,lentil,0
28,79,16,6,lentil,0
40,61,22,7,lentil,0
10,70,19,7,lentil,0
12,80,19,6,lentil,0
37,77,20,7,lentil,0
0,67,22,7,lentil,0
7,73,25,7,lentil,0
10,56,18,7,lentil,0
39,70,15,6,lentil,0
26,56,22,7,lentil,0
9,77,17,6,lentil,0
4,59,19,8,lentil,0
34,73,15,8,lentil,0
33,77,15,8,lentil,0
2,24,38,6,pomegranate,0
6,18,37,6,pomegranate,0
8,26,36,7,pomegranate,0
37,18,39,6,pomegranate,0
0,27,38,7,pomegranate,0
31,25,38,6,pomegranate,0
21,21,38,6,pomegranate,0
6,30,40,6,pomegranate,0
25,27,41,7,pomegranate,0
15,11,38,7,pomegranate,0
14,5,36,6,pomegranate,0
16,10,41,7,pomegranate,0
36,7,37,6,pomegranate,0
4,20,41,7,pomegranate,0
29,22,40,6,pomegranate,0
16,15,42,7,pomegranate,0
18,27,41,7,pomegranate,0
11,18,42,6,pomegranate,0
5,15,38,6,pomegranate,0
18,23,44,6,pomegranate,0
9,8,40,7,pomegranate,0
40,27,45,6,pomegranate,0
